index,tweet_created_at
260,1605101109.0
261,1605101092.0
262,1605101104.0
263,1605101099.0
264,1605101088.0
265,1605101281.0
266,1605101278.0
267,1605101267.0
268,1605101266.0
269,1605101265.0
270,1605101248.0
271,1605101247.0
272,1605101246.0
273,1605101240.0
274,1605101231.0
275,1605101225.0
276,1605101221.0
277,1605101083.0
278,1605101083.0
279,1605101082.0
280,1605101079.0
281,1605101278.0
282,1605101271.0
283,1605101268.0
284,1605101254.0
285,1605101252.0
286,1605101241.0
287,1605101229.0
288,1605101123.0
289,1605101118.0
290,1605101100.0
291,1605101279.0
292,1605101265.0
293,1605101256.0
294,1605101249.0
295,1605101243.0
296,1605101233.0
297,1605101222.0
298,1605101124.0
299,1605101117.0
300,1605101122.0
301,1605101106.0
302,1605101098.0
303,1605101089.0
304,1605101080.0
305,1605101276.0
306,1605101274.0
307,1605101266.0
308,1605101259.0
309,1605101242.0
310,1605101242.0
311,1605101221.0
312,1605101116.0
313,1605101097.0
314,1605101090.0
315,1605101079.0
316,1605101274.0
317,1605101273.0
318,1605101269.0
319,1605101268.0
320,1605101262.0
321,1605101260.0
322,1605101253.0
323,1605101251.0
324,1605101250.0
325,1605101238.0
326,1605101237.0
327,1605101232.0
328,1605101121.0
329,1605101117.0
330,1605101081.0
331,1605101279.0
332,1605101262.0
333,1605101252.0
334,1605101237.0
335,1605101229.0
336,1605101115.0
337,1605101098.0
338,1605101085.0
339,1605101275.0
340,1605101265.0
341,1605101263.0
342,1605101251.0
343,1605101251.0
344,1605101248.0
345,1605101239.0
346,1605101225.0
347,1605101225.0
348,1605101224.0
349,1605101124.0
350,1605101097.0
351,1605101119.0
352,1605101110.0
353,1605101097.0
354,1605101096.0
355,1605101095.0
356,1605101087.0
357,1605101086.0
358,1605101085.0
359,1605101081.0
360,1605101277.0
361,1605101276.0
362,1605101274.0
363,1605101268.0
364,1605101263.0
365,1605101261.0
366,1605101244.0
367,1605101240.0
368,1605101095.0
369,1605101262.0
370,1605101254.0
371,1605101241.0
372,1605101230.0
373,1605101221.0
374,1605101125.0
375,1605101104.0
376,1605101091.0
377,1605101085.0
378,1605101084.0
379,1605101277.0
380,1605101274.0
381,1605101269.0
382,1605101258.0
383,1605101245.0
384,1605101241.0
385,1605101214.0
386,1605101213.0
387,1605101183.0
388,1605101177.0
389,1605101173.0
390,1605101159.0
391,1605101154.0
392,1605101147.0
393,1605101303.0
394,1605101206.0
395,1605101200.0
396,1605101200.0
397,1605101170.0
398,1605101148.0
399,1605101146.0
400,1605101143.0
401,1605101295.0
402,1605101284.0
403,1605101211.0
404,1605101220.0
405,1605101209.0
406,1605101213.0
407,1605101208.0
408,1605101205.0
409,1605101211.0
410,1605101195.0
411,1605101210.0
412,1605101194.0
413,1605101204.0
414,1605101174.0
415,1605101153.0
416,1605101179.0
417,1605101151.0
418,1605101178.0
419,1605101133.0
420,1605101158.0
421,1605101298.0
422,1605101155.0
423,1605101134.0
424,1605101292.0
425,1605101214.0
426,1605101218.0
427,1605101216.0
428,1605101209.0
429,1605101198.0
430,1605101192.0
431,1605101188.0
432,1605101187.0
433,1605101178.0
434,1605101172.0
435,1605101167.0
436,1605101163.0
437,1605101159.0
438,1605101153.0
439,1605101153.0
440,1605101143.0
441,1605101143.0
442,1605101142.0
443,1605101298.0
444,1605101292.0
445,1605101212.0
446,1605101192.0
447,1605101192.0
448,1605101170.0
449,1605101166.0
450,1605101157.0
451,1605101145.0
452,1605101144.0
453,1605101139.0
454,1605101137.0
455,1605101135.0
456,1605101133.0
457,1605101297.0
458,1605101293.0
459,1605101288.0
460,1605101208.0
461,1605101220.0
462,1605101202.0
463,1605101200.0
464,1605101198.0
465,1605101191.0
466,1605101173.0
467,1605101170.0
468,1605101168.0
469,1605101147.0
470,1605101192.0
471,1605101301.0
472,1605101172.0
473,1605101158.0
474,1605101155.0
475,1605101152.0
476,1605101133.0
477,1605101133.0
478,1605101292.0
479,1605101217.0
480,1605101211.0
481,1605101210.0
482,1605101202.0
483,1605101185.0
484,1605101176.0
485,1605101175.0
486,1605101172.0
487,1605101166.0
488,1605101165.0
489,1605101155.0
490,1605101145.0
491,1605101141.0
492,1605101301.0
493,1605101202.0
494,1605101191.0
495,1605101176.0
496,1605101169.0
497,1605101156.0
498,1605101155.0
499,1605101140.0
500,1605101138.0
501,1605101137.0
502,1605101135.0
503,1605101131.0
504,1605101303.0
505,1605101298.0
506,1605101215.0
507,1605101212.0
508,1605101206.0
509,1605101193.0
510,1605101192.0
511,1605101185.0
512,1605101156.0
513,1605101152.0
514,1605101145.0
515,1605101132.0
516,1605101296.0
517,1605101284.0
518,1605101205.0
519,1605101179.0
520,1605101176.0
521,1605101159.0
522,1605101142.0
523,1605101132.0
524,1605101302.0
525,1605101297.0
526,1605101296.0
527,1605101206.0
528,1605101196.0
529,1605101181.0
530,1605101170.0
531,1605101167.0
532,1605101166.0
533,1605101149.0
534,1605101135.0
535,1605101301.0
536,1605101300.0
537,1605101300.0
538,1605101298.0
539,1605101289.0
540,1605101184.0
541,1605101176.0
542,1605101166.0
543,1605101154.0
544,1605101144.0
545,1605101290.0
546,1605101288.0
547,1605101211.0
548,1605101216.0
549,1605101210.0
550,1605101199.0
551,1605101195.0
552,1605101192.0
553,1605101173.0
554,1605101169.0
555,1605101163.0
556,1605101154.0
557,1605101137.0
558,1605101302.0
559,1605101300.0
560,1605101293.0
561,1605101213.0
562,1605101211.0
563,1605101193.0
564,1605101192.0
565,1605101181.0
566,1605101168.0
567,1605101167.0
568,1605101144.0
569,1605101138.0
570,1605101136.0
571,1605101300.0
572,1605101298.0
573,1605101297.0
574,1605101297.0
575,1605101293.0
